d,p,n,par,family,dvine,norm_error,sum_error,max_norm_error,last_param_error
10,45,100,function (t)  0.5^t,1,FALSE,0.6013732800460139,0.35967086359793754,0.1887578603972292,0.03058605296698453
10,45,100,function (t)  0.5^t,1,FALSE,0.6076636306699675,-1.1192608692695476,0.24497010832968677,-0.08328140679858236
10,45,100,function (t)  0.5^t,1,FALSE,0.6106772910848622,-0.2210424453322641,0.26721817073266246,0.002991681970887298
10,45,100,function (t)  0.5^t,1,FALSE,0.7474040560105722,-0.13970396153579107,0.3036187114064539,-0.04926812999728878
10,45,100,function (t)  0.5^t,1,FALSE,0.582991259252515,0.7752983552431968,0.23221502326393934,0.0313392935886468
10,45,100,function (t)  0.5^t,1,FALSE,0.6633413004894859,-1.6145732212222987,0.22371820820760233,0.0035549361488704497
10,45,100,function (t)  0.5^t,1,FALSE,0.5863502122609693,0.8303334082143344,0.20775450823669897,-0.1367551869702612
10,45,100,function (t)  0.5^t,1,FALSE,0.6821454601068713,1.2469577937656227,0.254413699280499,0.029828946403318915
10,45,100,function (t)  0.5^t,1,FALSE,0.591012943443229,-0.4318820289378798,0.2127088959437855,0.10187711566402925
10,45,100,function (t)  0.5^t,1,FALSE,0.552286983574166,0.19894682500419408,0.28571601268352326,0.052336893247314865
10,45,100,function (t)  0.5^t,1,FALSE,0.661057300623393,0.5788284560754322,0.3115780903621363,0.17028545890856706
10,45,100,function (t)  0.5^t,1,FALSE,0.6454672792402819,0.03821343767052808,0.24349942991947304,0.07879803109013517
10,45,100,function (t)  0.5^t,1,FALSE,0.5607461920269022,-0.6554287383366725,0.21647040066408374,0.032975121409134334
10,45,100,function (t)  0.5^t,1,FALSE,0.5362681029756959,0.6108698391093053,0.21072698793767813,0.12773012668682945
10,45,100,function (t)  0.5^t,1,FALSE,0.5910080733016936,0.6795681664299377,0.2249319372080043,-0.14999956938706607
10,45,100,function (t)  0.5^t,1,FALSE,0.7785698018062365,-0.41264384311901425,0.308215632660792,0.308215632660792
10,45,100,function (t)  0.5^t,1,FALSE,0.4829346136449627,0.6230628981693086,0.15880034356667344,-0.08414067166794603
10,45,100,function (t)  0.5^t,1,FALSE,0.5852813803920094,-1.09327639604246,0.20599615668484167,-0.13818804741564233
10,45,100,function (t)  0.5^t,1,FALSE,0.6002813214218511,0.23551622475867406,0.16230328749229522,-0.08660386191077561
10,45,100,function (t)  0.5^t,1,FALSE,0.5754705090425464,-0.4176181225309388,0.2868638499757584,-0.050569733585340976
10,45,100,function (t)  0.5^t,1,FALSE,0.5774125570334508,-0.18285521383276204,0.21752880044582362,-0.062295518110367126
10,45,100,function (t)  0.5^t,1,FALSE,0.5144234372044751,0.7457702532974998,0.16386935039531264,0.03030326104176459
10,45,100,function (t)  0.5^t,1,FALSE,0.7077713857548165,0.06150869386704931,0.29748544242733244,-0.01608389040426989
10,45,100,function (t)  0.5^t,1,FALSE,0.5740618865276244,0.4426146422608612,0.18294989186722305,0.018543361180182107
10,45,100,function (t)  0.5^t,1,FALSE,0.6452482779043994,0.9588236738594641,0.26534018627842293,0.26534018627842293
10,45,100,function (t)  0.5^t,1,FALSE,0.7187338545716743,0.3836026408347177,0.26525973015540993,0.03535786225943438
10,45,100,function (t)  0.5^t,1,FALSE,0.5071123190274084,0.3192863468809109,0.18295657569869705,-0.09478316453576932
10,45,100,function (t)  0.5^t,1,FALSE,0.8222420320544456,-1.5828335992914462,0.2737985347529646,-0.19985351818562083
10,45,100,function (t)  0.5^t,1,FALSE,0.5179855554244785,0.30373181510178654,0.17237657063495807,0.01596767004618384
10,45,100,function (t)  0.5^t,1,FALSE,0.6381783175324184,-0.18923746390403806,0.22793601198417798,-0.08867442624007194
10,45,100,function (t)  0.5^t,1,FALSE,0.6088304627982152,0.29919270141571086,0.22521464418627396,-0.05218764966537161
10,45,100,function (t)  0.5^t,1,FALSE,0.6480109787392023,0.03886042357672962,0.22879881996245832,0.008131802020364221
10,45,100,function (t)  0.5^t,1,FALSE,0.6418307363617963,0.04978675162299261,0.24189062381195978,-0.02879554147050576
10,45,100,function (t)  0.5^t,1,FALSE,0.5971142633488857,-0.6690921369449588,0.21764639790343332,-0.025070307008773756
10,45,100,function (t)  0.5^t,1,FALSE,0.6562013184483166,0.17976526357357905,0.2606896850498365,-0.046928589446959386
10,45,100,function (t)  0.5^t,1,FALSE,0.5792820525484454,-0.036376403815633486,0.22193998929966477,0.034588984618937876
10,45,100,function (t)  0.5^t,1,FALSE,0.7255829100581004,-1.9272346145852204,0.2778530015068989,0.030013371897971805
10,45,100,function (t)  0.5^t,1,FALSE,0.7408636021435954,0.26865572621743006,0.31960764152217397,-0.04822708837009048
10,45,100,function (t)  0.5^t,1,FALSE,0.5220918997122073,-0.08897595128889649,0.20889457761565183,0.044787204185527556
10,45,100,function (t)  0.5^t,1,FALSE,0.6550126807018345,-0.20497090292010667,0.2259486415302248,0.1387340824776362
10,45,100,function (t)  0.5^t,1,FALSE,0.5644574689935739,-0.6473329425588478,0.26289214771904224,0.01612804694147843
10,45,100,function (t)  0.5^t,1,FALSE,0.515364647513834,0.2614807142926716,0.17197610773016278,-0.015661452333771496
10,45,100,function (t)  0.5^t,1,FALSE,0.597121587058068,-0.14329374748731658,0.18455545619141925,0.09154890906249784
10,45,100,function (t)  0.5^t,1,FALSE,0.7290342987202827,0.11071344019375447,0.30833126899003194,0.05894837992790488
10,45,100,function (t)  0.5^t,1,FALSE,0.5709133546562523,-0.25922029961581994,0.18004875865316794,-0.07291269162352276
10,45,100,function (t)  0.5^t,1,FALSE,0.589922132493596,-0.7186581678208291,0.17428246265808528,-0.11903316255744721
10,45,100,function (t)  0.5^t,1,FALSE,0.587676761859184,0.5238447261131081,0.18088699993698165,-0.07671398127856315
10,45,100,function (t)  0.5^t,1,FALSE,0.5244792115587756,0.18066540240367565,0.18883661172231764,0.08176939531128817
10,45,100,function (t)  0.5^t,1,FALSE,0.57849784218003375,-0.04153658689901603,0.17010886030123457,0.0538535736759527
10,45,100,function (t)  0.5^t,1,FALSE,0.658921204449551,-0.48718263075777485,0.21682119941647565,0.0626666354277189
10,45,100,function (t)  0.5^t,1,FALSE,0.694609676106679,0.06998249335827442,0.2812222645357174,0.014809072545964239
10,45,100,function (t)  0.5^t,1,FALSE,0.714599347812813,0.7236272457596451,0.2485796792158534,0.08876502557398633
